"BehaviorSpace results (NetLogo 3D 6.0.4)"
"Projet_3D.nlogo3d"
"run normal"
"11/27/2018 13:39:29:553 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","1","2","3","4","5","6","7","8"
"Certificate","true","true","true","true","true","true","true","true"
"range_circle","15","15","15","15","15","15","15","15"
"Interaction","true","true","true","true","true","true","true","true"
"W_C","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5"
"nbConsumer","500","500","500","500","500","500","500","500"
"nbProvider","100","100","100","100","100","100","100","100"
"W_W","1","1","1","1","1","1","1","1"
"range_vision","400","400","400","400","400","400","400","400"
"coeff_radius_max","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4"
"Witness","true","true","true","true","true","true","true","true"
"W_I","2","2","2","2","2","2","2","2"
"[reporter]","log_with_diffusion","log_with_diffusion","log_with_diffusion","log_with_diffusion","log_with_diffusion","log_with_diffusion","log_with_diffusion","log_with_diffusion"
"[final]","61","69","61","64","57","78","63","69"
"[min]","0","0","0","0","0","0","0","0"
"[max]","154","162","124","157","143","163","157","150"
"[mean]","68.9950248756219","71.12935323383084","64.8407960199005","63.71641791044776","66.64676616915423","77.58706467661692","68.58208955223881","72.29353233830845"
"[steps]","200","200","200","200","200","200","200","200"

"[all run data]","log_with_diffusion","log_with_diffusion","log_with_diffusion","log_with_diffusion","log_with_diffusion","log_with_diffusion","log_with_diffusion","log_with_diffusion"
,"0","0","0","0","0","0","0","0"
,"136","162","121","157","143","163","157","137"
,"154","147","124","142","134","149","134","150"
,"106","105","116","114","114","118","123","109"
,"103","105","94","81","101","100","97","81"
,"92","80","81","76","91","77","98","100"
,"93","99","99","73","96","97","80","97"
,"93","102","89","83","94","100","96","83"
,"98","95","98","99","81","97","90","97"
,"102","102","82","107","99","108","103","108"
,"94","104","91","93","97","107","96","102"
,"94","96","85","98","104","109","93","94"
,"92","96","82","82","84","106","90","99"
,"85","82","80","92","86","97","90","83"
,"93","66","74","76","75","80","83","90"
,"83","64","78","81","96","77","74","72"
,"76","69","67","84","87","76","71","79"
,"89","73","64","73","69","87","65","80"
,"72","63","70","66","85","95","87","82"
,"71","74","75","72","77","73","79","65"
,"76","84","62","73","71","72","78","76"
,"98","68","75","70","70","80","78","71"
,"75","72","69","78","80","74","78","63"
,"71","76","76","72","76","80","60","81"
,"73","73","67","74","66","67","68","76"
,"93","75","59","59","63","77","66","71"
,"51","66","53","65","81","73","68","77"
,"74","76","65","64","80","65","81","94"
,"69","67","61","59","73","93","56","90"
,"75","72","73","66","69","88","57","94"
,"65","71","67","61","85","78","55","82"
,"59","66","63","66","64","83","68","76"
,"68","76","55","63","55","73","68","78"
,"75","75","58","63","68","75","72","71"
,"74","76","66","55","64","69","74","82"
,"72","57","69","59","56","66","78","73"
,"85","73","77","53","65","76","47","72"
,"69","82","64","66","71","77","75","77"
,"82","67","63","72","66","81","67","74"
,"60","71","70","69","67","81","64","69"
,"85","79","63","66","65","67","82","77"
,"68","68","59","54","68","71","62","71"
,"61","63","63","60","71","75","56","64"
,"68","75","60","67","72","94","66","66"
,"69","74","50","63","65","84","61","81"
,"59","79","69","54","68","86","56","70"
,"74","72","57","48","77","72","63","68"
,"80","59","57","68","67","80","64","76"
,"62","65","65","56","58","80","78","66"
,"74","68","67","57","66","77","71","66"
,"66","67","63","54","70","79","58","67"
,"70","64","60","67","59","84","64","65"
,"76","69","57","63","67","70","76","71"
,"71","82","62","63","64","73","60","61"
,"66","92","62","57","59","91","81","71"
,"70","78","65","58","61","80","66","71"
,"68","74","71","63","67","76","60","66"
,"65","63","56","61","62","63","77","72"
,"61","65","65","55","70","83","51","72"
,"60","67","71","52","48","75","70","81"
,"71","70","57","55","57","66","53","72"
,"68","67","66","73","85","66","51","75"
,"67","59","53","66","59","73","67","76"
,"67","74","61","61","60","76","56","82"
,"72","75","61","60","56","80","76","65"
,"57","67","75","66","72","64","66","70"
,"64","68","67","56","58","69","66","68"
,"62","72","68","59","67","75","65","73"
,"59","64","74","59","65","75","58","73"
,"68","65","60","61","60","77","77","77"
,"60","66","54","56","76","77","72","68"
,"74","66","56","67","69","59","73","70"
,"73","76","66","68","64","74","58","73"
,"71","57","62","57","62","75","60","73"
,"66","78","66","59","56","70","63","67"
,"59","69","51","58","63","74","65","65"
,"68","72","66","56","65","74","69","60"
,"66","60","60","52","63","70","64","70"
,"59","59","63","62","56","66","60","70"
,"70","83","58","62","69","71","65","60"
,"61","70","69","61","61","88","59","63"
,"63","74","64","69","70","91","73","69"
,"65","80","57","63","64","78","65","73"
,"57","67","67","59","61","84","65","62"
,"76","74","70","60","54","76","67","86"
,"60","57","61","58","67","81","60","72"
,"63","68","59","64","49","69","64","66"
,"73","74","59","54","68","69","67","73"
,"64","69","61","63","71","81","67","52"
,"63","66","64","62","58","63","53","72"
,"69","71","62","53","66","82","56","62"
,"74","58","65","61","70","81","63","72"
,"70","73","75","67","62","70","60","73"
,"54","66","59","48","55","72","71","62"
,"59","58","63","61","61","82","59","60"
,"61","71","60","61","68","72","69","69"
,"58","61","62","57","56","69","61","75"
,"76","63","63","60","66","83","69","78"
,"67","65","52","60","54","58","72","70"
,"60","71","55","59","69","67","63","71"
,"66","72","69","63","64","82","67","69"
,"60","70","51","65","50","75","61","59"
,"77","60","60","55","69","69","63","72"
,"64","64","68","59","60","70","59","71"
,"53","63","78","68","58","69","68","77"
,"74","69","68","70","60","83","65","69"
,"70","65","67","54","67","70","79","72"
,"68","68","53","57","64","74","67","73"
,"55","66","48","71","60","77","68","69"
,"58","63","57","73","61","83","69","78"
,"63","58","65","63","62","79","75","70"
,"60","69","62","51","55","73","69","68"
,"59","69","59","64","57","80","54","78"
,"71","78","78","63","67","73","69","62"
,"62","73","62","48","60","65","71","66"
,"65","66","62","53","66","72","79","75"
,"59","72","52","62","68","70","75","66"
,"55","63","70","54","78","76","68","57"
,"56","60","59","65","67","78","67","71"
,"71","66","68","56","57","84","68","81"
,"66","67","63","67","66","69","67","68"
,"61","69","48","57","61","71","59","81"
,"60","64","64","62","59","75","60","57"
,"61","68","58","59","64","64","59","76"
,"67","69","59","62","65","72","68","67"
,"68","76","71","64","66","73","62","73"
,"69","72","66","61","61","74","69","67"
,"70","78","58","64","63","67","68","70"
,"70","65","62","62","65","76","63","63"
,"68","64","72","53","70","75","68","68"
,"60","67","63","58","60","81","69","75"
,"67","60","62","52","67","77","52","59"
,"69","74","62","59","66","88","75","63"
,"70","64","73","71","56","87","68","54"
,"53","88","75","54","44","65","75","61"
,"60","67","51","59","63","81","63","60"
,"61","72","70","61","64","73","63","61"
,"64","75","69","56","58","66","82","66"
,"58","65","46","54","66","71","65","79"
,"63","69","71","56","51","71","64","74"
