"BehaviorSpace results (NetLogo 3D 6.0.2)"
"Projet_3D.nlogo3d"
"experiment"
"12/01/2018 16:04:53:158 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","1","2","3","4","5","6","7","8"
"Certificate","true","true","true","true","true","true","true","true"
"range_circle","15","15","15","15","15","15","15","15"
"range_vision_provider","395","395","395","395","395","395","395","395"
"Interaction","true","true","true","true","true","true","true","true"
"nb_good","10","10","10","10","10","10","10","10"
"W_C","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5"
"nbProvider","100","100","100","100","100","100","100","100"
"nbConsumer","500","500","500","500","500","500","500","500"
"W_W","1","1","1","1","1","1","1","1"
"coeff_radius_max","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4"
"range_vision_consumer","400","400","400","400","400","400","400","400"
"W_I","2","2","2","2","2","2","2","2"
"Witness","true","true","true","true","true","true","true","true"
"[reporter]","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt"
"[final]","1.5927167020909772","2.362082626716813","1.6652448679136231","1.8083124175364453","1.511582938948085","2.518588822009564","2.188589573832937","1.9757495622031465"
"[min]","-2.287282401105497","-2.0101377606172406","-2.4538974249163363","-1.942778064661057","-2.12660403219821","-1.8000637468926444","-1.9495009014270035","-1.6067102427918205"
"[max]","2.183824333591974","2.9496922073752487","2.5828520532431183","2.707500855976507","2.4509059833390086","3.0933750417039847","2.66402505791075","2.6622151756766854"
"[mean]","1.4132068342998418","2.0753043794666746","1.6201607366023727","1.700247133093991","1.4288836482967837","2.242203774064015","1.733250079076379","1.8722650805297454"
"[steps]","40","40","40","40","40","40","40","40"

"[all run data]","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt"
,"0","0","0","0","0","0","0","0"
,"-2.287282401105497","-2.0101377606172406","-2.4538974249163363","-1.942778064661057","-2.12660403219821","-1.8000637468926444","-1.9495009014270035","-1.6067102427918205"
,"-0.9506798282685087","0.27851165678797607","-0.9686423260479281","-0.49586458574932274","-0.18865510351116116","0.0527445333087619","-0.5459066679825659","-0.019054629314586114"
,"0.03615354332396781","0.7151479301944792","-0.03334033082866608","-0.30992723444901815","-0.1709667207771737","0.11120405408597676","-0.12962003839419717","0.6565493241675319"
,"0.814243421465084","1.219693418285461","0.5264753267563411","0.9639717792614646","0.7800516541327153","0.8989979725364121","0.9164040634090234","1.724044100432744"
,"1.1280279437007765","1.74667445288271","1.3057823861799747","1.2995788890980466","0.8282217428229193","1.7538707711542796","1.4291989829400438","1.6531703510734075"
,"1.2076598674021468","2.104434680111605","1.6284418844095983","2.0221192767831933","1.504555303453889","2.244355214242229","1.6693762532407814","1.7028303356020105"
,"1.159339157203251","2.507423096525681","1.5305660994618904","1.8889459027522184","1.593138901782568","2.440772344007089","2.316700133705998","2.196756309282008"
,"1.655673834747468","2.516567352892051","2.0670917801091364","2.223577779750253","2.2124051054712575","2.5320860829170004","2.293495717559293","1.9886529953134777"
,"1.8177338070914224","2.7049074119973366","2.4121436955995303","2.3700497027861456","2.070074705794825","2.960179285476528","2.4780939257090213","2.3050623127289063"
,"1.8544155931816975","2.823916383187804","2.0616951422595875","2.60787597625315","2.1061144128752085","2.862567087984985","2.3354619611897935","2.1205800557249126"
,"1.9772931604369033","2.9496922073752487","2.3763818330488973","2.707500855976507","2.2463531415120648","3.0933750417039847","2.4979644346201946","2.6622151756766854"
,"1.852560699193537","2.897964463100898","2.5828520532431183","2.434014904996415","2.4509059833390086","3.0856434271419504","2.66402505791075","2.62740678629487"
,"1.6558634299011168","2.609495799604789","1.6737368412005458","2.079628784845681","2.3037986530626577","2.9476478972523323","1.9074485919575879","2.384466492584202"
,"1.480153026139284","2.2672629630260164","1.9404513146625075","2.4163263642012085","1.7931585398484515","2.465283060142821","2.232299436684686","1.8188037845259526"
,"1.975187198857554","2.068754753825836","1.9833459043833956","2.113658025363388","1.7756711631653603","2.527307939385059","1.9459054348062845","2.095244151472741"
,"1.5796608878409844","2.0451531014137023","1.7131152935137572","2.0395199719056643","1.7404754950772432","2.665033976214434","2.2001421199223845","2.251069358162507"
,"1.7402884872468594","2.3011470022228773","2.188523773550598","1.5604179487307006","1.766918197533129","2.54038086946514","1.935089535932606","2.018973770319343"
,"1.9976719187994112","2.603902785800523","1.9185007090275827","1.8882317059920721","1.617432080602859","2.614436346390665","1.8000430147390454","2.0111567464640503"
,"1.7524500796359606","2.423038770422085","2.0583974133985574","2.087552426695824","2.117264579156894","2.703922183950448","1.9048247956117546","2.376437327299885"
,"1.3399086846685853","2.4438470761199946","2.276604676568394","1.9690195235228414","1.7028474164945986","2.8570282288236313","1.417837679275604","2.2379884267217625"
,"1.9774536610676499","2.2108361039915283","1.9802756743329466","1.989270481514594","1.6038669575338271","2.76167020414808","2.0335810716276153","2.312320961153476"
,"1.7250528792464086","2.560536139805417","2.0637510046799896","2.561253843953177","1.4748794674503507","2.5618488302108178","2.0284812301393806","2.1291681830922613"
,"1.851667318670372","2.6415352904709533","2.123243080532295","1.9411199968216803","1.5204419660192967","2.8282797719629906","2.24694849597833","2.1394877711907956"
,"1.520241213499586","2.451729379727588","1.7676259919802166","1.950438731860479","1.6342223013332058","2.565698382396401","2.1842644250814387","2.17778106801608"
,"1.5146034480014328","2.4259643263990167","1.6698907773204394","2.089580511753806","1.50629774656714","2.4164501404493786","2.2797598107674406","2.113897953793076"
,"1.5020195509097383","1.9617202114395065","1.5120913118586543","1.8144660295376482","1.4994915748532744","2.649499173178713","1.8178995113398764","1.9354717600465337"
,"2.0781725946413916","2.6179260305599086","2.1900658080803472","2.2263159801970183","1.4741191910552351","2.2724855168781044","2.2430923381649976","2.265500932622452"
,"1.470451352721596","2.156724657415816","1.876476736583665","1.981546050142715","1.7371384915696662","2.619611397696584","1.840055478163533","1.8547320451668579"
,"1.7650261184805371","2.077464259599489","1.8929515451299723","1.6324207963096948","1.641813767061071","2.398778102811873","1.890653195422492","2.208310448991264"
,"2.183824333591974","1.9396513904751955","2.303079234699802","1.6152802277719178","1.6615870715689944","2.298818984218443","1.9020705102736435","1.9377888607450562"
,"1.898811332782192","2.0167231377204873","1.9071248688491136","1.2011532485033023","1.3234062545142617","2.3125077661616875","2.0730976917572534","1.874670069654452"
,"1.955623779785095","2.428094004351291","1.7806764093382277","2.062887007809356","1.3472434404005444","2.365771020142037","1.912633884340644","2.3164275969220127"
,"1.6484305922745144","2.3796023741302132","1.6992486165488339","2.0362415168312316","1.4204516494621289","2.4958402195928158","1.7726718615005708","2.0499752497285955"
,"1.4796071993985038","2.612652309039374","2.0439532631610353","1.6321552244841775","1.8332089928901147","2.4736246916806985","2.173265683947716","2.20036178359684"
