"BehaviorSpace results (NetLogo 3D 6.0.2)"
"Projet_3D.nlogo3d"
"experiment"
"12/01/2018 16:22:25:135 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","1","2","3","4","5","6","7","8"
"Certificate","true","true","true","true","true","true","true","true"
"range_circle","15","15","15","15","15","15","15","15"
"range_vision_provider","395","395","395","395","395","395","395","395"
"Interaction","true","true","true","true","true","true","true","true"
"nb_good","10","10","10","10","10","10","10","10"
"W_C","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5"
"nbProvider","100","100","100","100","100","100","100","100"
"nbConsumer","500","500","500","500","500","500","500","500"
"W_W","1","1","1","1","1","1","1","1"
"coeff_radius_max","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4"
"range_vision_consumer","400","400","400","400","400","400","400","400"
"W_I","2","2","2","2","2","2","2","2"
"Witness","true","true","true","true","true","true","true","true"
"[reporter]","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt"
"[final]","7.003870517335044","7.1363203248931955","6.891293963213113","6.63534092613209","6.8128406152894945","6.674447668168059","6.6699377432143185","6.634392475562932"
"[min]","0","0","0","0","0","0","0","0"
"[max]","7.675016697197327","7.931277266737211","7.4326464142455535","7.460612045175152","7.599694296372703","7.599681974171752","7.4949167652564155","7.3000080320602505"
"[mean]","6.559810991310584","6.692540561995662","6.424537540068892","6.264675022877455","6.447098550708889","6.465464590172866","6.261278651791233","6.320784102858386"
"[steps]","40","40","40","40","40","40","40","40"

"[all run data]","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt"
,"0","0","0","0","0","0","0","0"
,"0.5346586070266353","1.3146106556917783","0.4631844746878926","0.6360565454385876","0.3198187984351066","0.3781144394594521","0.6646955859518383","0.38342662638769787"
,"4.154457713817931","4.2566774814232025","4.4391012467397415","3.529296107178458","4.208070071848789","3.52731581765809","3.5864034978447887","3.9734780529523994"
,"4.698810016692419","5.556828815096246","5.240241642847598","4.917992284592467","4.795143221977568","4.973500069767601","4.960420705428351","5.370796378525371"
,"5.938133178823907","6.099011373743301","5.947345974375287","5.719148127787495","5.797151767759651","6.236455493544779","5.547547526457648","5.837388539448145"
,"6.677703447114062","6.5705774549918665","6.343353805247561","6.327379864903311","6.371530670202154","6.6469107104243275","6.166535791433169","6.431755597233418"
,"6.688989979707883","6.967164845211775","6.614825901664814","6.623541895338349","7.232173009522215","7.030948495874796","6.576990950003362","6.458970329204872"
,"7.432295860660614","7.389785076643119","7.135300951704873","6.823770174076306","7.247537642098282","7.268764508480574","6.63988156789927","6.682598577198417"
,"7.302996059466367","7.495779400185179","6.81592447067333","6.55223159544195","7.501764578646976","7.337499304650582","7.1630623930046164","7.173026659348167"
,"7.633025031944826","7.651034956139193","7.093104488179379","7.196738255136484","7.175610890853584","7.229260602721659","7.281438415340082","7.3000080320602505"
,"7.675016697197327","7.931277266737211","7.114869413570628","7.353728335855805","7.3895882639790615","7.599681974171752","7.282786777876112","7.287990710831685"
,"7.661348364165907","7.708691612154889","7.4326464142455535","7.460612045175152","7.599694296372703","7.42781110951964","7.14821316512891","7.279502506667576"
,"7.550449233844797","7.531818667484973","7.3134848408060344","7.003280432020169","7.518293999604676","7.160558282482828","7.4949167652564155","7.178256564282044"
,"6.866666851109233","7.430098338808895","7.013947927321812","6.397923956093614","6.940870912987427","7.250889051041226","6.677398766075194","6.383783039726917"
,"6.478323130077232","7.427924372642803","7.03238905638373","6.584712121285504","6.499234871190182","6.822725408949572","6.216797414111541","6.612045202894415"
,"6.882819984424633","6.616693319468448","6.91387725275108","6.57491683931332","6.7329241587350115","6.925149031959839","6.746123694761461","6.835760949543765"
,"6.734889436896377","6.891679728735602","6.525847744588124","6.456968315494336","6.376630814184452","6.637114862735031","6.734132517684733","6.6178340497471435"
,"7.013848909046641","6.669565342011879","6.819812961550691","6.4521920573145035","6.7064417458535885","6.946636364113858","6.165297928322772","6.497766246330515"
,"7.177822163347155","7.090069016278575","6.677357699532855","6.883983506104455","6.934853127469246","6.977443565121424","6.631064078666871","7.167267002939981"
,"6.701153963913496","7.032433662738521","7.3010695497366855","6.960220931878758","6.903881945512516","6.994428995504274","6.550144310257778","6.842128765429141"
,"7.278172419112435","6.741615228128165","6.956264251089122","6.651124205196747","6.9467425877491635","6.762337391182815","6.73707563099625","6.914092372374633"
,"7.292614355413432","7.504457712358946","6.808016250826263","6.791326429150966","7.0948734702015654","7.183558742300875","6.773359731564632","6.850423010903242"
,"7.414376154789858","7.439798954934808","7.160382750987015","7.018567172609492","7.28344444680855","7.118694966573323","6.844485766738364","7.188302233066655"
,"7.138254953342884","7.557077801857428","6.815814578098851","7.129247057216778","6.852261187620657","7.057421773718484","7.011672571424754","7.039739439867751"
,"6.908576408763769","7.124864959742403","6.6795443635005975","6.508771508893314","6.894731187590231","6.922607261487867","6.845052139689679","6.63809421615683"
,"6.7265725051005765","6.9999865838051525","6.844771319876704","6.951062772374227","6.64563139067639","7.078222552249023","6.561453381056455","6.673529184670491"
,"6.631515194526903","6.617233282394739","6.798414901836152","6.207882857078833","6.616891521377033","6.517327505905652","6.2007203823933965","6.729708800497396"
,"6.917146000928907","7.082340564145048","6.510822088828411","7.060932621931108","6.938026689699374","6.64524147685125","7.079705194644596","6.681788015208282"
,"7.15756943123434","7.4032736744766545","6.560791439172433","6.037745293246104","7.098590414121351","7.119858454175237","6.86509657877329","6.057346322568617"
,"7.347441101200442","7.549185227989147","6.652795325795366","6.803227775285443","6.378663364472576","6.51240358575129","6.746905160822777","6.344826623106012"
,"7.255583720615241","6.7097088090449795","6.756823320970145","6.999436500645345","6.762709109712948","6.941916468529262","6.9397419346003835","6.701093673536415"
,"6.749963786629065","6.638738141276151","6.839658950664193","6.473525481375983","6.874867650451369","6.846113877869634","6.795959999572731","6.548436819340176"
,"6.790246246976056","7.089717864361968","6.810823418492372","6.656069261732133","7.2466977195092515","6.917940809082273","6.266166868160261","6.965729165878353"
,"7.350164995328242","7.075032751506167","6.585848155747949","6.706517931582653","7.374793804040959","6.998515971971591","6.8591762046492235","6.504417707347677"
,"7.400715989018484","7.02163417568743","7.151109271695769","6.965719060795953","6.903211334102454","6.705492132334214","7.0588352427720285","6.8116085790940595"
,"6.7130490877755795","6.687412635783279","6.859030694067409","6.512057407714643","6.431611488660743","6.752598405457334","6.818145246134149","6.21674744546282"
,"6.846593785086825","7.11895815914625","6.785696447843611","6.607893815342694","6.699928408096205","6.374166448247349","6.210625180713121","6.747213481972184"
,"6.917980717896217","7.0739988073843385","6.879674722402829","6.469045291999631","6.72012624343199","6.621693616402984","6.390792192801591","6.901226189388096"
