"nbProvider","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"W_W","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"coeff_radius_max","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4"
"range_vision_consumer","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400"
"Witness","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false"
"W_I","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"[reporter]","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt"
"[final]","3.0943583244162705","3.517682047703616","2.369654197467451","3.149298700265134","3.8654418398156736","3.3620090810813905","4.797081870029543","3.842955623927761","3.7595498791490125","3.1606208818809503","4.127975180933953","3.5815405870448154","3.5956044145366417","4.350202803606296","4.018708687943913","3.879384378275534","3.763349045669435","3.467925461930615","3.743195912643216","4.341768707197582","3.9192238490800975","3.5701043426303967","3.8358150043741888","3.415796054289046","3.5812546601877995","4.817831252931236","3.0629323727213102","2.898722134950055","3.739940929775171","4.18842394163618"
"[min]","-1.3353187816213143","-1.6354649028839066","-1.6434058902128148","-1.2191012825804663","-0.7163722810404526","-1.5388503759840986","-1.4081995005782453","-1.263711004245518","-1.484290030844416","-1.3911048167268678","-1.4815959110645847","-1.5716210715289836","-1.7338319728561313","-1.309584426562791","-1.636867768669098","-1.324882482840458","-1.3024465538891297","-1.7935280020272752","-1.3959305084787377","-1.0946046742451434","-1.1001787195261572","-1.6077254388903854","-1.7194701932946534","-1.5923869957120187","-1.697795821968626","-1.469810301621351","-1.501639057492407","-1.6002566572212757","-1.6049039491958617","-1.8501177133748286"
"[max]","4.156259532173431","3.8645013356281535","3.498218256529127","4.076898878947507","4.393129467264139","3.9560067520623647","5.166736766183654","4.212384686858334","4.42198991101397","3.6520988800864336","4.471340231449846","4.246272812943795","4.248374304038799","4.78978683170788","4.523684151631786","4.382082514560404","4.051835682890632","4.352522575318059","4.202185372941883","4.941862131274389","4.667635701368237","4.2682478351012065","4.6076444489485695","4.351651611327238","4.2152210875485325","5.363865381626566","3.79615864807846","3.7198541618864045","4.150972319458051","4.693712538404759"
"[mean]","3.3615360931713543","3.211326128156524","2.7398511343634038","3.422856741821625","3.747621705996794","3.2574478335063173","4.53205524790257","3.5415617661713443","3.7045415510227593","3.0494541638419848","3.8442825848725537","3.5409524411338915","3.37987777855082","4.083814698334856","3.7953249100395223","3.7612921412890303","3.3344872510914794","3.430897972373803","3.5442802059669702","4.39951981087749","3.9558809874306973","3.4590406259967326","3.9745677308716076","3.6815198687368005","3.644074561795123","4.720161266355891","3.0212072309632827","3.043660249431545","3.4568737302114303","4.103103324948203"
"[steps]","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500"

"[all run data]","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt"
,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
,"-1.3353187816213143","-1.6354649028839066","-1.6434058902128148","-1.2191012825804663","-0.7163722810404526","-1.5388503759840986","-1.4081995005782453","-1.263711004245518","-1.484290030844416","-1.3911048167268678","-1.4815959110645847","-1.5716210715289836","-1.7338319728561313","-1.309584426562791","-1.636867768669098","-1.324882482840458","-1.3024465538891297","-1.7935280020272752","-1.3959305084787377","-1.0946046742451434","-1.1001787195261572","-1.6077254388903854","-1.7194701932946534","-1.5923869957120187","-1.697795821968626","-1.469810301621351","-1.501639057492407","-1.6002566572212757","-1.6049039491958617","-1.8501177133748286"
,"1.1080014102140836","1.5652310647427072","0.9288601772409968","1.3899637863466285","1.895351606254065","1.0647085252027757","2.9218273985501537","1.5172336803088022","1.503280820383925","1.0312707985493341","1.838245236548553","0.9112891755843457","1.0479057342350673","1.5179042103562452","1.6294409113546966","1.9553257462430005","1.4317102231580776","1.4566715303067495","1.898577222705233","2.443254132980577","1.1176933932578064","1.3278698430848943","1.6617448878559373","1.5644506896800143","1.4264478890422354","1.9129367306574487","1.077115849211395","0.7854955622312632","1.1467822400997882","1.638305535956386"
