"BehaviorSpace results (NetLogo 3D 6.0.2)"
"Projet_3D.nlogo3d"
"experiment"
"11/29/2018 23:23:47:638 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","1","2","3","4","5","6","7","8"
"Certificate","false","false","false","false","false","false","false","false"
"range_circle","15","15","15","15","15","15","15","15"
"range_vision_provider","400","400","400","400","400","400","400","400"
"Interaction","true","true","true","true","true","true","true","true"
"W_C","0","0","0","0","0","0","0","0"
"nbConsumer","500","500","500","500","500","500","500","500"
"nbProvider","100","100","100","100","100","100","100","100"
"W_W","0","0","0","0","0","0","0","0"
"coeff_radius_max","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4"
"range_vision_consumer","400","400","400","400","400","400","400","400"
"W_I","2","2","2","2","2","2","2","2"
"Witness","false","false","false","false","false","false","false","false"
"[reporter]","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt"
"[final]","4.879770011865431","4.565591071947981","3.7424570143394975","4.217436973292301","4.646537112281751","4.024686459067475","4.6082422309592594","3.8701844313611784"
"[min]","-2.0704519675267186","-1.5994951717092554","-1.4367380728293069","-1.4982148000299689","-1.4503262230792802","-1.503773182151787","-1.784896737945226","-1.7716489702853093"
"[max]","5.477618432328856","4.76199258486527","4.17023834573352","4.604715147243877","4.911768209757817","4.488297865828227","4.904151598724122","4.204931747557084"
"[mean]","4.296524922478315","3.9260010162471572","3.3005931534048214","3.6678938346590444","3.9408219105181423","3.5188831538788166","3.9525979112411576","3.393277120704502"
"[steps]","500","500","500","500","500","500","500","500"

"[all run data]","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt"
,"0","0","0","0","0","0","0","0"
,"-2.0704519675267186","-1.1384710148469992","-1.3008995015086728","-1.0607227168324245","-1.4360199417404127","-1.3994083241676618","-1.784896737945226","-1.7716489702853093"
,"-1.3785445632939168","-1.5994951717092554","-1.4367380728293069","-1.0897437066054414","-1.4503262230792802","-1.503773182151787","-1.4180748443817497","-1.233369140064893"
,"-0.8900217663111719","-0.4584978597044269","-1.132420945675684","-1.4982148000299689","-0.6406597205954396","-0.9259280683897086","-1.0919522079666166","-1.309505716114625"
,"-0.13841477202524924","0.09392601566357231","-0.5671270667610575","-0.3692068643087655","-0.13171782011101305","-0.6663597710838827","-0.6294153186225822","-0.7508273915215535"
,"-0.17029548829460464","0.10827881831545032","-0.2805826104881105","0.11431953319529702","0.26213013741611696","0.17585344266866346","-0.5821495512966222","-0.06030940469311657"
,"0.1444744175433433","0.6411510017983291","0.10784172497589821","0.4783834460192148","0.5443987266885202","0.29398830513073093","0.4051162329325883","0.11027175499714753"
,"0.6460944489257956","0.9988457635734013","0.7167247718540237","0.7252284177546663","0.7108242752664038","0.421640882889685","0.5779019271251415","0.36583363029110433"
,"0.6253330065901247","1.2598499071349991","0.8175775159575391","1.0498475331410122","0.9794125676314966","0.3364312832188145","0.8492062248302792","0.5889824165186078"
,"1.1145219717887882","0.9815197310336493","0.854347019263275","1.280168866125246","1.08139504458753","1.0639811337953895","1.0959892910652966","0.6833851089468723"
,"1.1054661834672297","0.9784562968817423","1.1953885067321555","1.177819199813126","1.0803259698945042","1.1387510744318843","1.2602214156368008","0.8504790826608857"
,"1.3808625957889282","1.2633340902206267","1.0880610012778904","1.193207006892092","1.2953443765311496","1.2016936224877348","1.4186735242544768","1.2499437605031838"
,"1.3851083901587296","1.5925004806881025","1.0515750720208608","1.560817152726341","1.240787335433717","1.30289478866666","1.412854705318703","1.174240913936578"
,"1.2376833264188245","1.4071963107593661","1.0695841333611313","1.2187354084641993","1.7879104148703788","1.4637195844430124","1.4184989827166214","0.9556121633811266"
,"1.3926919494521086","1.8313110576113227","1.1370787123963457","1.2722736400479981","1.4672568858055677","1.6039530934958623","1.5681028447200718","1.0034120568574398"
,"1.5891272662011398","1.8432508568547228","1.3308066746446205","1.5006292861584118","1.7758106274760717","1.4623831180587434","1.7134414935197733","1.2104175225800315"
,"1.5014563094719913","1.5280349419516501","1.5269737753978734","1.6310639277878618","1.6093037708552704","1.6449257675126252","1.7562240042609756","1.3841664888751082"
,"1.72964028895395","1.8179198174118985","1.19118925991462","1.843882658051873","1.7847409633544764","1.8276245347983064","1.6055384965658275","1.3963544462140578"
,"1.393658699165542","1.922120494217665","1.6377829425774055","1.9660426455929005","2.075429232023942","1.5975673937781796","1.8572134479174986","1.3533820780615933"
,"1.8610911767948266","1.9472942105913387","1.4591442659446554","1.9145562867068169","1.680531207058187","1.5562753827301183","1.653267273264835","1.5248422283303071"
,"1.8780179896584601","2.0230297639574544","1.7601362839261134","1.6984982716504584","1.8914973456545006","1.9227602136432886","1.670293468961382","1.298086888965803"
,"1.7574049854189036","1.9053322933042511","1.684651477243615","1.8460599292930673","1.925494267388499","1.6399243509942818","1.732513214675408","1.738547201848921"
,"1.8364207163298885","2.1393239786879983","1.7931157446019348","1.5985845004810577","1.8639343921727194","2.018674339881797","2.0701195614182533","1.7623180637352673"
,"2.001066212056351","2.0275360823500272","1.67552910608157","1.6124961472855106","2.319065042802224","1.9397759182420267","2.215759821118147","1.5045593093009155"
,"2.0332748165260335","2.1153349096206373","1.8301461305490272","2.0047991328723853","2.1279965214019603","1.689741250843508","2.1327109476517014","1.9284966368299723"
,"2.115927723676427","2.1731033788338006","1.6839395376779238","2.1466199385670364","2.19916122384827","1.7691902200844496","2.273018293905545","1.8258427564682331"
,"2.178841394007447","2.4283344987858815","2.2654971313560384","1.8127411497691728","2.3933922827231524","1.8072331308431142","2.2268934296174763","1.904744715847336"
,"1.9467317543578573","2.5101403555723723","1.9916183070325457","2.0559398923241385","2.4184604582188727","2.060980233446637","2.2188167869020643","1.9128156590198242"
,"2.514381472548017","1.9205015570978077","1.9759400732835166","2.320107765719568","2.411651219549661","1.8419031976787226","2.655049385790416","1.7373106114757808"
,"2.6146667853489447","2.3769348143721465","2.039642146212235","1.812228313893343","2.4503795395951684","1.8646743445481688","2.3113438082258404","1.877739847673438"
,"2.277012438866463","2.402045532900248","1.8206845741883928","2.225604940848687","2.4598493572687237","2.18805437544798","2.312153535787948","1.8013843811743304"
,"2.2097922971806696","2.6717694111702395","1.9775383719328055","2.3715569801243683","2.3994244840993173","2.0032300497647557","2.384557887877854","1.9788503715476895"
,"2.3334590068266228","2.2362318664020426","1.893863490142265","2.251941166943748","2.6127142408469655","1.8735641848323117","2.604362789902752","2.069204830040954"
,"2.3337822862606736","2.5463820816299716","2.2990176624895717","2.414558347585547","2.4185332571011666","2.229320513469888","2.387656759388226","1.9754853218122435"
,"2.129980140156168","2.7752026949693693","2.1373327413070418","2.429651486033414","2.559814710105218","2.059492519749761","2.4356326735773424","2.298702341534935"
,"2.4622725460142987","2.7342752489605724","2.0209606718615647","2.3743805438527197","2.420282236059412","2.244349200180593","2.8329856839149623","1.8254201062175681"
