"BehaviorSpace results (NetLogo 3D 6.0.4)"
"Projet_3D.nlogo3d"
"run normal"
"11/27/2018 13:34:23:257 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","1","2","3","4","5","6","7","8"
"Certificate","false","false","false","false","false","false","false","false"
"range_circle","15","15","15","15","15","15","15","15"
"Interaction","true","true","true","true","true","true","true","true"
"W_C","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5"
"nbConsumer","500","500","500","500","500","500","500","500"
"nbProvider","100","100","100","100","100","100","100","100"
"W_W","1","1","1","1","1","1","1","1"
"range_vision","400","400","400","400","400","400","400","400"
"coeff_radius_max","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4"
"Witness","false","false","false","false","false","false","false","false"
"W_I","2","2","2","2","2","2","2","2"
"[reporter]","log_with_diffusion","log_with_diffusion","log_with_diffusion","log_with_diffusion","log_with_diffusion","log_with_diffusion","log_with_diffusion","log_with_diffusion"
"[final]","49","50","48","52","46","51","49","57"
"[min]","0","0","0","0","0","0","0","0"
"[max]","154","142","155","162","154","137","160","164"
"[mean]","58.69651741293532","55.059701492537314","58.985074626865675","63.3134328358209","57.46766169154229","57","57.35820895522388","64.79601990049751"
"[steps]","200","200","200","200","200","200","200","200"

"[all run data]","log_with_diffusion","log_with_diffusion","log_with_diffusion","log_with_diffusion","log_with_diffusion","log_with_diffusion","log_with_diffusion","log_with_diffusion"
,"58","42","60","58","49","57","55","61"
,"61","48","52","52","46","45","53","57"
,"55","36","37","53","54","45","45","63"
,"53","46","48","56","40","46","44","55"
,"51","44","49","53","49","45","44","59"
,"50","50","56","56","40","50","45","54"
,"50","37","56","48","53","44","50","60"
,"47","55","58","57","51","53","55","50"
,"51","50","47","63","55","46","53","63"
,"54","47","56","55","48","45","50","63"
,"51","51","54","55","52","46","59","55"
,"42","49","52","60","56","46","49","53"
,"50","52","52","64","48","52","43","55"
,"54","51","58","65","48","42","46","51"
,"51","44","51","57","46","44","52","53"
,"56","40","59","59","51","40","48","58"
,"52","56","52","48","43","50","50","61"
,"49","39","54","57","41","51","47","45"
,"51","45","54","66","44","52","49","53"
,"43","50","55","49","43","48","48","58"
,"51","40","52","64","49","47","53","58"
,"48","50","47","58","45","47","52","57"
,"62","44","47","51","36","41","43","61"
,"57","40","53","56","35","43","57","60"
,"45","44","48","55","41","44","53","54"
,"51","37","52","55","48","51","45","53"
,"57","43","55","53","48","50","52","48"
,"60","41","59","66","44","50","51","55"
,"52","44","56","56","37","53","49","48"
,"59","39","50","55","47","48","49","51"
,"50","48","57","56","42","47","58","51"
,"52","52","49","53","45","43","57","52"
,"47","48","49","55","35","50","53","49"
,"45","45","52","60","38","43","47","48"
,"53","45","49","54","52","45","46","45"
,"54","48","50","51","42","41","52","51"
,"54","40","48","54","41","49","54","48"
,"48","57","46","58","39","51","43","61"
,"57","51","39","53","35","39","47","47"
,"52","53","39","54","46","44","46","48"
,"43","48","49","58","44","46","48","50"
,"50","37","49","47","50","43","51","55"
,"58","41","48","42","45","43","51","36"
,"51","41","55","55","44","34","53","42"
,"46","51","47","51","40","49","40","45"
,"61","51","50","58","43","40","54","62"
,"52","44","52","56","36","49","50","53"
,"53","49","44","59","44","45","50","47"
,"54","47","51","58","44","40","49","53"
,"53","50","45","56","38","49","48","44"
,"59","45","50","55","42","38","60","54"
,"52","53","45","55","37","39","43","46"
,"53","46","50","57","40","44","49","60"
,"49","50","48","52","46","51","49","57"
