"BehaviorSpace results (NetLogo 3D 6.0.2)"
"Projet_3D.nlogo3d"
"experiment"
"11/30/2018 18:33:27:286 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16"
"Certificate","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true"
"range_circle","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15"
"range_vision_provider","800","800","800","800","800","800","800","800","1000","1000","1000","1000","1000","1000","1000","1000"
"Interaction","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true"
"W_C","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5"
"nbConsumer","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500"
"nbProvider","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"W_W","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"coeff_radius_max","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4"
"range_vision_consumer","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400"
"Witness","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true"
"W_I","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"[reporter]","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt"
"[final]","6.17628928833319","6.479309920607166","6.4617688127753725","6.792540557509747","6.709545232619746","6.94155089695537","6.020934599871008","5.795830226052237","7.448950181467768","6.715384398915981","5.583832717214775","6.300806121165976","7.132404039279235","5.867863761640452","7.413130411611193","5.71656753057337"
"[min]","-1.7303727232202568","-1.7056463744078134","-1.1597887912438472","-0.9392863510982831","-0.7508028805382753","-1.2609155478545697","-1.427342556772472","-1.243265156389221","-0.7743964124350637","-0.7465637101377794","-0.9149917814461215","-1.2869081156492606","-1.34851989711291","-1.1929786858947595","-1.585931026755658","-0.8824078649691787"
"[max]","7.491769285822062","7.250679235351358","7.222090729431968","7.893660020683784","7.264442392488641","7.331931142624509","6.765353535605628","6.193376920698408","8.469158352754224","7.307648654338612","6.404921874111884","7.332283011109548","8.028910911402464","7.052527989684379","8.274759909713907","6.577254941887646"
"[mean]","6.0203268295245","6.305390102500654","6.014357718273589","6.825342223041784","6.3221402714113015","6.44333112310909","5.852695013002408","5.415431207595236","7.223839989981754","6.359879821996449","5.48709716940122","6.237621556866654","6.8556882714350325","5.979016786962326","7.192050495222156","5.636805662053816"
"[steps]","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50"

"[all run data]","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt"
,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
,"-1.7303727232202568","-1.7056463744078134","-1.1597887912438472","-0.9392863510982831","-0.7508028805382753","-1.2609155478545697","-1.427342556772472","-1.243265156389221","-0.7743964124350637","-0.7465637101377794","-0.9149917814461215","-1.2869081156492606","-1.34851989711291","-1.1929786858947595","-1.585931026755658","-0.8824078649691787"
,"3.573027796087267","4.179676327453173","3.898472573386254","4.183466133446622","4.038449085285788","4.114039631622101","3.926026216957119","3.1809137609050024","4.610766499714064","4.4767471255987346","1.709835120301469","3.052158859992955","3.94958197846855","4.073547921636535","5.604953139415784","3.185280174122186"
,"4.094564678955439","4.66520582703695","4.143215561974855","5.542073733719828","4.614005970847923","5.577567910409003","5.054888187387263","4.112565688445915","6.271067398467563","4.338383040060919","4.451388985884663","4.977693079762078","5.243950318484115","4.580011161121503","5.634658794110788","4.5595229381659275"
,"4.974272649316557","5.576859331408778","4.9207000259578715","5.9658929122173","5.228213762813631","5.785423425453014","5.49310345563795","4.823287184259097","6.60656966619411","6.100506576234606","5.333233028084425","5.204755921211125","6.172315644948623","5.550996898482327","6.823373092665807","5.286687399752705"
,"5.297774259841505","6.17998491345396","5.720616120850311","6.070856006275766","5.846962964535476","6.4059613870096275","5.731168835581218","5.017549322099359","7.303546328505629","6.3502898864822885","5.574390789085043","6.430743151640543","5.995663455096358","5.768720712078544","7.079649403927174","5.176862053461667"
,"5.888748786763393","6.613213577272708","5.886129412263105","6.991493345126248","6.1514704974124506","6.560533223277506","5.613169268439701","5.19233758009024","7.3348742030753735","6.4352712372800935","5.801033509333497","6.008534198478608","7.068227967701543","6.115276886038144","7.0012712039940235","5.806341625460013"
,"6.2915237095746175","6.574619204530132","6.717735125789348","7.167021981809349","6.791932845980006","7.067242012596399","6.571579115512939","5.569737122149553","7.8562117078940314","6.240986973424188","6.188701283118101","6.462911071186684","7.2531388784500415","6.188553604736552","7.2875709764219945","5.83056381069807"
,"6.406010251721304","7.096929111252793","6.604940648255835","7.309644487833796","6.780133416211151","7.26240711278237","6.0565961805036705","5.861017011341156","8.016742082080361","6.701968645188982","6.288671083935899","6.48926368932711","7.428523570920429","6.502212287886242","7.451287511111308","6.034846468193032"
,"6.933988626055446","6.6806239087376555","6.727063327189512","7.565716771145027","6.944342818696392","7.157890068128144","6.765353535605628","6.038844269837539","8.283922346345106","6.470884927562025","5.9301009361668715","7.097746110015372","7.98510668487703","6.607691029860792","7.991380155779591","5.946564014218973"
,"6.395394170459882","7.1595592649051945","6.758433515586737","7.717493885875747","7.1291724334937925","7.115940201963952","6.608548103917082","6.001744238868022","8.201206830748626","6.85233048676322","6.17758688540263","7.191671559859948","7.86819600920756","6.8124475052403115","8.05584390288976","6.520906775518719"
,"6.8202836130284785","7.250679235351358","7.222090729431968","7.486148852599074","7.264442392488641","7.16818709839036","6.586927168000784","6.168509572050055","8.469158352754224","6.909156213440435","6.404921874111884","7.2702962779519495","8.028910911402464","7.052527989684379","8.274759909713907","6.510748034934343"
,"7.491769285822062","7.100369947126814","7.012057139914021","7.893660020683784","7.019251586508095","7.231757033093462","6.679897439402021","6.1245244743396805","8.466217030193903","7.125326435001215","6.004646851224351","7.332283011109548","8.028076200318575","6.893058644191649","8.055929141643416","6.577254941887646"
