"BehaviorSpace results (NetLogo 3D 6.0.2)"
"Projet_3D.nlogo3d"
"experiment"
"12/01/2018 16:16:27:150 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","1","2","3","4","5","6","7","8"
"Certificate","true","true","true","true","true","true","true","true"
"range_circle","15","15","15","15","15","15","15","15"
"range_vision_provider","395","395","395","395","395","395","395","395"
"Interaction","true","true","true","true","true","true","true","true"
"nb_good","10","10","10","10","10","10","10","10"
"W_C","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5"
"nbProvider","100","100","100","100","100","100","100","100"
"nbConsumer","500","500","500","500","500","500","500","500"
"W_W","1","1","1","1","1","1","1","1"
"coeff_radius_max","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4"
"range_vision_consumer","400","400","400","400","400","400","400","400"
"W_I","2","2","2","2","2","2","2","2"
"Witness","true","true","true","true","true","true","true","true"
"[reporter]","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt"
"[final]","5.874941920956289","5.928044600489557","6.236997444219207","6.261282781692904","5.782310941717035","6.494324163197979","6.394466290603345","6.125198093051959"
"[min]","-0.08141069122650553","-0.4014039311037468","-0.898807192255262","-0.3228955554846068","-0.21436270290099288","-0.1654876361094722","-0.20942535817956034","-0.3325871778589468"
"[max]","6.470696064797394","6.408123316533645","6.782149268969469","6.90892572716473","6.562819575035817","7.0737430197329925","7.035662995187186","6.618307986400922"
"[mean]","5.473852334106528","5.445664602168486","5.601015631575661","5.876977448881598","5.501831834854538","6.069656652273872","6.103828062552365","5.6407497255524115"
"[steps]","40","40","40","40","40","40","40","40"

"[all run data]","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt"
,"0","0","0","0","0","0","0","0"
,"-0.08141069122650553","-0.4014039311037468","-0.898807192255262","-0.3228955554846068","-0.21436270290099288","-0.1654876361094722","-0.20942535817956034","-0.3325871778589468"
,"3.511116789294843","3.1099362472646517","3.149995515296056","4.529347614248828","2.8983289300972457","3.29254142863769","3.4614769590969634","3.2061008048006734"
,"4.27111097300158","3.855409255395073","4.097801872585377","4.333669272499719","4.188107019198631","5.007630676083357","5.2421512705601385","4.473690427270058"
,"5.078598562420224","5.203530564646395","5.53680339690476","5.359599525834604","4.569440103517677","5.753510156147524","5.624748940535683","4.951545847676955"
,"5.771690564973992","5.249498812597587","5.651918197735189","6.106004166984834","5.48875748187715","5.978881006328322","6.302391844092237","5.863745246065737"
,"5.578177147134968","5.800821459733428","6.4669912630773885","6.406174053937816","5.899709279550348","6.291551218800836","6.386364698285277","5.99771747315747"
,"6.084324508879976","5.898262980216405","6.174278028162627","6.90892572716473","6.184003313574908","6.384186352737826","6.822868515166579","6.364435611567877"
,"6.24724668456735","5.711285160576423","6.368116137874102","6.750241574790359","5.894987436657953","6.862152195380467","6.888514202132828","6.095756195303326"
,"6.143663737622238","6.1686019074944705","6.499534449556101","6.761015283129052","6.258131226823611","6.878465839152256","7.035662995187186","6.533820037086996"
,"6.470696064797394","6.296392847369541","6.782149268969469","6.588254920544394","6.099767526229294","7.03883933805661","6.874547861467379","6.618307986400922"
,"6.1266253232009955","6.408123316533645","6.626498086946149","6.81903172885815","6.300952652704414","6.991730118341475","6.764417350904645","6.469249219887214"
,"6.049588507774671","6.026484009534164","6.270063628546449","6.519255472257644","6.055160905828735","7.0737430197329925","6.980920813509913","6.4760671033367245"
,"5.862373787374276","5.662235969588458","5.972163313525539","6.483065717137459","6.06613938303736","6.600842058937855","6.616558448478122","6.081765689168305"
,"5.7393678515583755","5.35566504906387","5.516821490406067","6.5186103429565","5.676732558681253","6.429735740755781","6.449230778422017","5.6535333547951145"
,"5.607539998652842","5.716941165972769","5.972646180634102","5.703107420102113","5.380177706617255","6.284135030833261","6.533520472837847","5.62257568161454"
,"5.792030900150239","5.876085364602918","5.859683869988201","6.015717230079117","5.504303614125807","6.641548738182871","6.483394137737856","6.108189323629583"
,"5.8101414430233085","5.850691951889305","6.307903792776702","6.084956082459135","5.765767913867386","6.1586978558181205","6.359999991824786","5.978750890060963"
,"5.792371872831851","5.937991974598305","5.778703158048828","6.020816290608168","5.8887708155812835","6.237676073014378","6.527115478681264","5.937906955850286"
,"5.777797800127859","5.856870073579683","6.003415734923876","6.277251994179257","5.788942212810129","6.771488876413202","6.808947614583741","6.342542318355869"
,"6.025625608418422","6.15878899820392","5.969104255633208","6.362729914420098","6.421334863806231","6.581988368347579","6.660551102130685","6.44879277836453"
,"6.318334193768028","6.076939750827269","6.064029496326842","6.6268552241221785","6.149343584481336","6.594932928962924","6.661427566267763","6.2423615276523154"
,"6.144594721202772","6.073543987485651","6.133862342792213","6.522654044346906","6.562819575035817","7.008086885804348","6.538774168972579","6.414549297237654"
,"5.588007493844784","6.11951242095506","5.94809994073537","6.2202356629881566","6.127021408602739","6.741436063694087","6.677161912902968","6.414272384440634"
,"5.648791572748356","6.01406513708236","6.080559875889783","6.334773863716285","5.798353257325522","6.542956203309845","6.750515882261114","6.253578163328117"
,"5.957840728003282","5.705381952119907","5.486047662047537","5.9029810542405174","6.0972159018170675","6.122519136201867","6.212400361197995","5.453336840049367"
,"5.892284059761347","5.851787036466176","5.830555693107054","6.231080011983307","5.654337411889657","6.40211833648746","6.588597114301628","5.675626309466142"
,"5.647110855104013","5.6034187576698145","6.177995667975469","6.0734202249010165","5.894349909784087","6.577757066502699","6.386391608339033","6.038866585742304"
,"5.79516102305077","5.575688844930909","5.593811015858453","6.18511480779859","5.611245650993515","6.001804806367675","6.227957444362902","6.138673521708562"
,"5.636320350470779","6.067693585158429","5.811961229630109","6.0093807276327755","6.107822514791516","6.430891482049942","6.451942013301019","6.187123402119764"
,"5.650744761120836","5.8604474758448655","6.211228302896032","6.087010925477751","5.837481880587524","6.6040744154453686","6.3560768726975425","5.87813074507133"
,"5.9111079025325","5.960225167074776","5.832316851474076","6.140676848830174","5.841569364861519","6.420667639807106","6.5817883310194425","5.818204598845015"
,"6.1700705902306225","6.2383936545505465","6.47574730910086","6.491086779532983","5.999389698186682","6.550379448012304","6.739682578354358","5.949384339519228"
,"5.793163201435463","5.775818688822257","5.750194411441567","6.673057142243666","6.131514259756943","6.60876570512195","6.744559172768913","6.024577664883587"
,"5.797945074276492","6.112654695107525","6.451405423372624","5.881352147936342","6.348634851522519","6.158958773460754","6.518998660274633","6.202719897815465"
,"5.769404809435784","5.8010528559991466","6.2606691882398","6.336379685687153","5.773160200266739","6.893825391117425","6.508575112811898","6.168832299451665"
,"5.811328713902231","5.328600783987134","5.771823932222901","6.301871435795052","5.863425759692632","6.261387910861601","6.2584637523945155","5.999164837557807"
