"BehaviorSpace results (NetLogo 3D 6.0.2)"
"Projet_3D.nlogo3d"
"experiment"
"11/28/2018 18:34:03:403 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
,"-1.143921723625951","-1.5160430779594776","-0.11690355405540168","-1.443035019821775","-0.8088593768181267","-1.6066890476841722","-0.903568862484223","-1.2911968671932867","-0.9897628182067598","-1.4330076680145947","-0.7676799262635098","-1.5254424801418585","-0.4539513118699002","-1.3496555998725341","-0.914175573001018","-1.6526154052116757","-0.8055448975590475","-1.6531289014048098","-0.3022014979654769","-0.972566712807632","-1.4144457059149849","-1.416528064067334","-1.486431091843208","-1.7133167818400892","-0.9154825257488324","-1.3230276597951856","-1.0569752487379516","-2.109765097953394","-0.18677399581268228","-0.9047626183343815","-0.6573004034765141","-1.6576584345251595","-0.884225856087881","-1.5186941775383431","-0.9363780183977907","-1.5433523074570545","-0.646336474473509","-1.815945944625827","-1.312203726740829","-1.569384457201399","-0.580825214894115","-1.2717048949317646","-0.8324181387374227","-0.93951396773021","-0.7310547337216521","-1.4919777495577555","-0.62690995603098","-1.4295301126908693","-0.5879945955039899","-1.2567806247861197","-0.675885425377444","-1.1972162166617804","-0.6187679700746929","-1.4050844243431009","-0.795012457267713","-1.489146518086205","-0.9479243189431698","-1.1758222567001209","-0.37000854309796744","-1.5837050272425581"
,"-0.9129820833550043","-1.7124219291840101","0.26552915369985414","-1.5394611311839772","-0.37637351580967077","-0.9173686103924433","-1.0054703026693852","-1.250751412193853","-0.4930707487752692","-1.7973847395642844","-0.1760419560110237","-1.3794366797242152","-0.17908346396624858","-1.178918257008837","-0.33252051874443755","-1.6556137590737894","-0.2598688541058025","-1.309606503033619","6.76281294060411E-4","-1.38124939633321","-0.5754163574958189","-1.374380273524863","-0.9440610150701931","-1.5320678621771782","-0.22731772436244535","-1.2167539209991391","-0.8128699844891389","-1.3664911086712026","-0.21974691546285058","-1.099238865161062","-0.21622314419964844","-1.5162371201483755","-0.014519021927607862","-1.707350059405074","-0.37251866445715937","-1.468081564998936","-0.12949533514428727","-1.5202884116838598","-0.6419376354879844","-1.318220594562119","-0.44093266174152257","-1.503467091419787","-0.03915398216566592","-1.3549383091588425","-0.40882024735564226","-1.2083324065925234","-0.35534014926278573","-1.6758324015523434","-0.24055826220950846","-1.4034247596194034","0.014451355414579696","-1.8018688171624049","-0.25677574327316804","-1.588469397924575","-0.4228356131333547","-1.4949548362839002","-0.3866054154942744","-1.1041903086940228","-0.23312104414575444","-1.5053977126791191"
,"-0.05119370098566579","-1.638512469388143","0.3870673415005471","-1.6397320911872195","0.27888490820884837","-1.1723502360566445","-0.0722928992799398","-1.7578502231417377","-0.09561044338956713","-2.0078099358916135","0.2633652075324791","-1.4388318017969715","0.36913410877338865","-0.9768250749549352","0.14760204880484493","-1.6990119277570952","-0.10902782552295195","-1.381611063074607","0.044297461670288175","-1.2523853449550686","-0.23343482141038627","-1.8124523638060412","-0.40971364244577974","-1.7386030602106988","0.12713748412725495","-1.3344381965099459","-0.7015035878147879","-1.6930975116816074","0.3495834555546565","-1.4021481579917885","-0.3219250608338872","-1.415328190005196","0.7310783721423912","-1.0466487905050779","-0.13834971215661293","-1.23418279040347","0.047270519739825385","-1.3475390330826162","0.0436581515466311","-1.470640583138049","0.2473880201555526","-1.363542177367985","0.174295221069101","-1.0244465071268658","-0.17562493646780958","-1.1792591802233678","0.0090497921830761","-1.7181178180582877","0.5033069358634634","-1.7435050637245766","0.2986232256982875","-1.036030764064309","0.3642302546321068","-1.364620999645437","0.16577626875007065","-1.2378640162719337","0.23475311363521073","-1.0324471986848032","0.27339408930645887","-1.5222534935659755"
,"0.5360978639305878","-1.6551668519708054","0.3635413873954404","-1.042731327955371","0.841631784244317","-1.2504878476626387","0.08439945887814121","-1.4624398057614754","0.042255970194348534","-2.033703712478728","0.46651285717068264","-1.1087556040963968","0.6112554110826056","-1.5246098562305304","0.058635589881613395","-1.6403229207021444","0.19643035768102568","-1.1643820495570987","0.8974436744824741","-1.4496749276185148","-0.1042755753760238","-1.5227575167058829","-0.3054344529822189","-1.6650601729513796","0.2283982052219883","-1.625198280351409","0.07330302793210317","-2.0648010393713534","0.8240484041235561","-1.0071435743170105","-0.038114719263131355","-1.5913385937897047","0.27289074124185886","-1.4764342611007704","0.3736989857181589","-1.2316285112877225","0.19111164956900897","-1.4145323771864866","-0.05543682014891736","-2.0506968428490944","0.27810627593043713","-1.1402582952313498","0.703184812856572","-1.3361712867980813","0.3502104977434938","-1.5068407961835775","0.44324125470752607","-1.9213513129067417","0.5666128934394128","-1.7124985595470066","0.4287632201047466","-1.3072418838707052","0.6894246316790148","-1.4005612931471818","0.3722974311942319","-1.4083605477601202","0.9235638022972751","-1.1212209631107914","0.5263905818053716","-1.5077403787402561"
,"0.6190757927709203","-1.4986702384022978","0.9265771694948911","-1.3334779990832943","0.9598841064122391","-1.1417940157486832","0.490272831922614","-1.3341200764525336","0.139518222087609","-1.916448712927304","0.49003041462893215","-1.4390421994067526","0.9638252223718415","-1.1007198022496052","0.5862825928608534","-1.6260961460404217","0.709940992010036","-1.619558354733928","0.8914798074323951","-1.4760917288052557","0.33754000638535736","-1.323012278641498","0.19090828930163048","-1.3675311516376325","0.6386563917746114","-1.4011246306117366","0.4772386426043317","-1.5263926573997464","0.933345097476149","-0.9833742331598463","0.2084341797826193","-1.5253593906929874","0.7471683794714005","-1.4960082502199095","0.5578746574208233","-1.022985751597713","0.9133436780903507","-1.2551418794447544","0.4855427210098379","-1.5004895016427582","0.499471467082998","-1.5790355171705548","0.744963507502464","-1.181289049060003","0.5746886044844312","-1.1724545116416505","0.5458620199731208","-1.7768834937374367","0.6757398876237001","-1.0372207922198537","0.9116303492067849","-1.4866683074940708","0.4760804264035981","-1.4063143493957884","0.6593504277092141","-1.7665709975705648","0.9414425959877909","-1.1602558600219117","0.6603930537462834","-1.3176061210774306"
,"0.6124372544034022","-1.9752744521193144","1.3790647947981762","-1.4455996007612717","1.0671248683755805","-1.1307148991090499","0.43990548551916353","-1.375060758051957","0.506044526949419","-1.8662028835819127","1.327284099774138","-1.4135732969892356","1.0347869707918893","-1.2177645116807088","0.40778964693386216","-1.3974403107399374","0.6049831081182965","-1.253024434779839","0.6593753810264412","-1.4097564348047085","0.7421459782309131","-1.2285297138048192","1.024155057894011","-1.4238959598982035","0.6583716060626523","-1.081990656833429","0.5986212088065024","-1.6901812339488629","1.3015071276388488","-1.0268896518837618","0.6231384431312953","-1.4611790303462568","0.6982197729422305","-2.0061019781721283","0.45782765882982307","-1.5039058239394487","0.92955447902718","-1.445979997199916","1.2186284836058172","-1.2268584070258557","1.0382579815869568","-1.503647397523472","0.9804569699200464","-1.2486135871426984","0.9291782447572217","-1.607124433851819","0.6330567774104443","-1.7954835590879537","0.7443597623333231","-1.4005320164825141","1.1631643809930388","-0.9919472252206665","0.7005998374621022","-1.3458372607542857","0.7482635168275402","-1.6801696290770973","0.7650729064118428","-1.071878919259958","0.9457402807172285","-1.4146580500357162"
,"0.881645852219966","-1.6711935051179365","1.3311398272651704","-1.418984545023036","1.109637223638742","-0.9530786738487603","0.8872742808862665","-1.3267213306117955","0.6233524667545608","-1.4315924480603963","1.3160940479938077","-1.2274294996542858","1.4981950776441981","-1.456419021752762","0.7369098126951237","-1.7780914548004085","0.8509343665928","-1.2655353433548142","0.8837985562140237","-1.574995796908686","1.1333611835010082","-1.6676852693209534","0.6244314934900819","-1.8005274775498619","0.8276577394395639","-1.3196447366769728","0.8363666042650302","-1.6455923296451973","1.2709750717114752","-1.3079580316597748","0.426692663495326","-1.4680834280191113","1.1457946037694346","-1.6793332447253762","0.7284744649801087","-1.5604946059534381","0.9570067287722858","-1.5649726719416373","1.179096664313859","-1.3826774921944105","0.9420483933276831","-1.5710392512314466","1.0076734922304036","-1.1467030167549748","0.9658673009985096","-1.4098693993774625","1.024449246251765","-1.880440987244967","1.1014618902073","-1.6458000364826546","0.8873161078680172","-1.3801538509965419","1.130617887501688","-1.0344438111233607","0.5344360179297621","-1.369605921875955","1.5582839753491395","-0.9707578432724331","1.0595172622419977","-1.6349619889593912"
,"0.7598747085554962","-1.4804833311355154","1.4563921202322456","-2.129348612580701","1.0839615952215793","-1.3359425512095906","1.1921404736242156","-1.5949013782542805","0.7827648251787926","-1.7724134659711381","1.0545057910730578","-1.239494494756406","1.5124639115629686","-1.5101981760774918","1.0995867771143673","-1.9788984548610613","0.9702385703501069","-1.6137648896950112","1.2236332675899815","-1.553249301908972","0.8041448413654544","-1.3201702968129418","0.9497101284178409","-1.553537968191052","1.218366483418045","-1.3922365535900587","0.8640954418351815","-1.735978864063305","1.5814381875833288","-0.970789304507911","0.7563039884284475","-1.3266588123559386","1.4048759566040807","-1.5027047136309062","0.9097915572932326","-1.2146018064765454","0.9105897619660424","-1.0165979354212284","1.3821500191259983","-1.252055115124059","1.1151578733908765","-1.2660634092648908","1.373647865696496","-1.4964723455450528","1.2856158503340134","-1.235050191499933","1.1299456112710091","-1.8477882749047532","1.3785585397635207","-1.8139308748010343","1.4072943431292244","-1.6261328027168436","1.180473252630091","-1.6058506369200496","1.1175477805918757","-1.4177385523475385","1.4998370555759064","-1.4030784375341538","1.1117158829958529","-1.6156478953059599"
,"1.2630227800597955","-1.8891940940468437","1.7947276451881804","-1.1749064324091458","1.492249688392191","-0.9164706735926185","1.2561823889380024","-1.8644122866982678","0.559789466947589","-1.8086245809712145","1.4233383004737024","-1.1748459202249346","1.5646177250572992","-1.4018434514990552","1.0254275910874138","-1.583844861161151","1.2138603683576137","-1.2896824304130687","1.3988135097860717","-1.1864071380417727","1.2416790978880938","-1.4984565221267427","1.0339055403660629","-1.0209067884216614","1.1262653595073464","-1.4336502633438866","1.0146104848272712","-1.2576321560520838","1.875775871447826","-0.8931498728042396","1.1167895645007988","-1.3008195384942258","1.2202227983683458","-1.2818113639811004","1.4672688687259232","-1.1295042805973896","0.7682737832219367","-1.5160258418584374","1.3631310519442115","-1.808343603875285","1.16398074953159","-1.4866443382609411","2.0484523309706555","-1.5544157059824943","1.1991757861245647","-1.2026965245543944","1.0971127803689922","-1.485174879284237","1.3482844149537963","-1.6048919843380516","1.3927554631908214","-1.470438293644021","1.3074467211988634","-1.2024542086850716","1.444044226504276","-1.5227156888473852","1.5000132748800976","-1.2473774887224294","1.3152801339067333","-1.5760161609370602"
,"1.604495496116284","-1.7933444959347111","1.9224100359057603","-1.1966447862414407","1.5985935415269723","-1.2272471205928956","1.3951728076924095","-1.3827614592973616","0.9354315063706763","-1.8375630382684054","1.4959015381769374","-1.5800288870167465","1.6632017740220317","-1.3812456973221527","1.1834453546384311","-1.7164819250560435","1.6660037354905775","-1.6188416745570258","1.3313105489622683","-1.454204457283028","1.31015672414856","-1.3729987532720898","0.849741931431849","-1.4964703819240717","1.1780614923413177","-1.1932017307166507","0.901750365667576","-1.3876893717826009","1.6906043717345296","-1.1477212695896246","1.1205523769449683","-1.2915581908849099","1.4533971117693247","-1.743600966442709","1.2265187144768392","-1.2507809029378747","0.8721214251542074","-1.3407388498710722","1.4620779848859449","-1.6785683327691143","1.400657384056966","-1.1348863711398096","1.5192980936392735","-1.1762123132852278","1.3878435777797538","-1.233044320743952","1.7500614809476172","-1.7683000802476259","1.0744344228417286","-1.9177196151857794","1.424261286938296","-1.4257219878127085","1.0713302345493634","-1.1971021078470243","0.8793599146425835","-0.9645444350974374","1.7220358469707377","-1.0298589674263363","1.3915451815105582","-1.3697756740377531"
