"BehaviorSpace results (NetLogo 3D 6.0.2)"
"Projet_3D.nlogo3d"
"experiment"
"12/01/2018 16:18:48:553 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","1","2","3","4","5","6","7","8"
"Certificate","true","true","true","true","true","true","true","true"
"range_circle","15","15","15","15","15","15","15","15"
"range_vision_provider","395","395","395","395","395","395","395","395"
"Interaction","true","true","true","true","true","true","true","true"
"nb_good","10","10","10","10","10","10","10","10"
"W_C","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5"
"nbProvider","100","100","100","100","100","100","100","100"
"nbConsumer","500","500","500","500","500","500","500","500"
"W_W","1","1","1","1","1","1","1","1"
"coeff_radius_max","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4"
"range_vision_consumer","400","400","400","400","400","400","400","400"
"W_I","2","2","2","2","2","2","2","2"
"Witness","true","true","true","true","true","true","true","true"
"[reporter]","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt"
"[final]","6.237400347777195","6.81015430140257","6.580600024478079","6.142763134584198","6.77418639775194","6.015419939263006","6.544042082972983","6.769137836344702"
"[min]","-0.0032769901911374496","-0.26582664567096287","-0.3079885975815476","-0.29005020688130867","0","-0.7369118170530534","-0.7818810594682476","-0.4030925483689466"
"[max]","7.335345295597953","7.68959846691837","7.042579466567111","6.95262742494401","7.668806453415365","7.263767572793519","7.187673072028622","7.265887291477388"
"[mean]","6.280749520841116","6.533224456686319","6.03660047573985","6.023302694795571","6.560129418566063","6.0257622244502365","6.142313347261609","6.344044774020633"
"[steps]","40","40","40","40","40","40","40","40"

"[all run data]","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt"
,"0","0","0","0","0","0","0","0"
,"-0.0032769901911374496","-0.26582664567096287","-0.3079885975815476","-0.29005020688130867","0.2823344436414385","-0.7369118170530534","-0.7818810594682476","-0.4030925483689466"
,"3.8582064108623086","4.715378404569247","3.915724761796051","3.4813189202017485","4.737917119431305","3.4536987140556272","3.486087027204279","4.708768450522884"
,"5.073207946265716","5.147026303765926","4.935256588749052","4.882501311333754","5.012042533740382","4.383720161309606","5.400014432637959","4.797180475793812"
,"5.635540545766388","6.015547501191426","5.819992451237363","5.848199834818742","5.215880323802596","5.659290395889905","5.3773260942036405","5.8264466919927855"
,"6.513481476682558","6.615249300274861","6.142610062337402","6.281497925471261","6.272912450050031","5.622950314348712","6.22096019536182","6.587915363547831"
,"6.713367766022251","6.733309270473446","6.198637608046322","6.382715838842071","6.97952771172482","6.662702011867985","6.557484285347273","6.879455764065463"
,"6.951055860746743","6.960944339208475","6.392361584966441","6.561118475176212","7.226351174384902","6.793427583297527","6.854788572352537","6.612997964284943"
,"7.162003655010845","6.80260847592736","6.336842099966311","6.707107830810909","7.156855308385492","6.584489977822828","7.187673072028622","7.202312077522411"
,"7.281835474192527","7.4430425337573665","7.033490364996328","6.95262742494401","7.173891198720079","6.87523568173223","6.81920829959312","6.820347584483674"
,"7.246085768226952","7.258361113357155","7.001032723498844","6.916116212666131","7.443999554671487","6.999580489632136","6.863267932654483","7.212304095121944"
,"7.335345295597953","7.68959846691837","6.997504124165869","6.8906380758342305","7.668806453415365","7.175566168187757","7.082168705797166","7.252592697348018"
,"7.127783734443498","7.3266145060647885","7.042579466567111","6.912991466356683","7.3427111082529875","7.263767572793519","7.180278199189745","7.043651615329684"
,"6.778980242071689","6.970303241724239","6.469768323820611","5.952107770167631","7.04261028899171","6.276197335227907","6.595487811897677","7.000681656760601"
,"6.361718884356744","6.800483819897166","6.510694441313483","6.299971265327092","6.84902876069684","6.0657709682152685","6.0919800861344555","6.57325168305611"
,"6.503263440317544","6.724838897887939","6.276752991009264","6.443455633932461","7.027088258808263","6.35028836371879","6.045746102247062","6.572047960431934"
,"6.439577111114745","7.042984513333563","6.0519662695078305","6.535815178222657","6.434756308846222","6.505663539962765","6.728131426779712","6.794819037254509"
,"6.680355595233507","6.8441057719619725","6.448273427700644","6.590548892885174","6.962517472085672","6.130695328787146","6.4757627830901106","6.950992131469407"
,"6.718197335681539","6.9848974864291415","6.546086763127609","6.427421432625206","6.961506093306983","6.464164345741151","6.585826146959272","6.420080186482946"
,"6.754384702362772","6.860381350949174","6.454228356073695","6.684689798241336","7.190936333374059","6.566946329322","6.7983880202220295","6.894065793049168"
,"6.936441498308105","7.038254585309318","6.598812923767938","6.764239427709746","7.0536973172518564","6.641130836855062","6.291858405321443","6.954897732282468"
,"6.887979100545039","6.977591466166234","6.750358696695482","6.624386553081137","7.149481210165022","6.3732402832600465","6.719006848288178","6.8505317470795575"
,"7.075258916796638","7.3375485810413","6.941964995343225","6.60584096008481","7.558332897948999","6.906823887251103","6.619822195958036","6.579426068296879"
,"6.803748944303065","7.442214198926353","6.5129678486285645","6.562091901626217","7.346579002458576","6.740809945024621","6.722120176067517","6.7481478787155"
,"6.730581511219343","6.651680688011842","6.410830457657622","6.03470326853041","7.229474795671501","6.558492193176743","6.513954881986984","6.4218178383570566"
,"6.68783178781787","7.1030975349716226","6.327253002188935","6.2037322893776174","6.853797524884672","6.363734539126723","6.4825891092089805","6.8051555098957515"
,"6.29515502098919","6.870272800564041","6.508429509534675","6.178371683037485","6.666293944341003","6.445716815731286","6.164757207048082","6.731821518578911"
,"6.375956034204924","7.0302626235153705","6.07970918050121","6.095236676395579","6.716497930089758","6.68109521875339","6.8444247486358085","6.732280824817199"
,"6.834231228800886","7.262358307999045","6.445569133138417","6.400905054339168","6.664693728950895","6.1553975855202925","6.547665327850654","6.621852048752776"
,"6.4245063604257595","7.473873463600208","6.554881355894416","6.5973704471206425","6.809855146917619","6.533423229959214","6.498382124295851","6.390552360698549"
,"6.436170289455744","6.991282679760492","6.172277601368138","6.511423305900678","7.282678558342655","6.2962774410964695","6.629648345181198","7.076748077481857"
,"7.0284612844015255","7.1826121375135195","6.760094683076255","6.330091779121493","7.24368176119299","6.507914272090143","6.992048568045962","6.455992575233713"
,"6.948591486629998","6.859347977832449","6.781593786235519","6.55527842964737","7.318493345922153","6.611532066737942","6.864455380147429","6.787028128724929"
,"6.734478827602878","7.1971442190243895","6.490621521897705","6.927895072520889","6.796170002035688","6.869311741656316","7.0496840201493125","7.014213973788182"
,"6.565301981672419","7.191959918575151","6.530962643343483","6.629603370973853","7.459867357773033","6.490770968124304","6.820417408363256","7.265887291477388"
,"6.803837438966159","6.540079819575575","6.352265941467514","6.32107661121524","7.002779487705415","6.575894690044931","6.606463335412906","6.733776944355783"
,"6.823540906522128","6.970698944462232","6.54424858521251","6.013365878956919","6.767061534191172","6.641607071724519","6.380954208229505","6.849305408403685"
