"BehaviorSpace results (NetLogo 3D 6.0.4)"
"Projet_3D.nlogo3d"
"EtudeRoConsumer"
"12/02/2018 03:58:18:688 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","101","102","103","104","105","106","107","108","109","110","111","112","113","114","115","116","117","118","119","120","121","122","123","124","125","126","127","128","129","130","131","132","133","134","135","136","137","138","139","140","141","142","143","144","145","146","147","148","149","150","151","152","153","154","155","156","157","158","159","160"
"range_max_consumer","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600"
"good_ratio","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10"
"ro_provider","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600"
"W_W","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"linear_diffusion","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5"
"W_I","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"[reporter]","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt"
"[final]","5.731916267643518","5.109450334805207","4.0958270090753635","5.649414021850453","5.0096401130607155","5.149275409192259","4.563248722624406","3.9661329173051807","5.372652766307604","5.134063378613304","5.747383467000459","4.6495870046426875","5.704645497364177","6.203217453820002","6.37166670182733","5.499746024333775","5.066102896906019","5.9457045630404055","4.336460349841637","5.253490658324443","3.7460109998110176","5.488253541660069","4.938892223250711","4.80634500585267","4.980282566865121","4.704168017577015","4.877888830475314","5.558014405193892","4.468762223902144","4.8398267113908995","4.7169338657763795","5.013397342302703","5.020581713201991","5.39729015622757","4.4820746824993725","4.522316363087958","4.679647214173368","5.190689319202112","6.056317908021324","5.592032080988352","4.410908717541245","5.197007955518068","5.09873915077485","5.203524990027595","5.322120336046145","5.216874590257355","5.130264228926396","5.102005387847361","6.302182081002824","6.309950110862316","6.079256778642031","4.501674262864843","5.071593426787352","5.034789655748054","5.445989700527144","6.097742011378768","4.895755207404411","5.803103834674036","5.238779705174231","6.400018813458317","6.275852388381071","5.750669622833527","4.103140703524586","6.226508290028007","4.417360861550737","4.754537745485797","5.203340142889149","5.896867065344576","5.908242394412876","5.449480876985215","5.746300683985448","5.7475168839751944","4.9907256575694445","5.350361204634826","4.778620829855757","4.146326877880397","4.429257400653874","4.5640874592657505","5.371605795714266","5.929329921197403","5.648014713382016","4.903829050958883","5.84052604485734","4.925779077865275","5.052011529825876","5.124644489435034","4.9794237554247935","5.112544066642075","4.752662149808903","6.915080557681691","5.236601507144527","4.68720419992312","4.872626027245782","5.3035757461285185","6.093586717208389","4.752344180734063","4.836889016575669","4.905320304992678","4.351487116949689","5.385107682913156","4.311876982480198","5.752085215796043","4.715094015122182","5.425734742126566","5.6851729343708275","4.268957146688853","4.814510174762091","5.959732196372437","5.114751258534456","4.834273993673361","5.573373160505195","5.119807471367953","5.474904277526006","5.019723502690126","5.017894778471633","4.471571170452646","4.765405270852188","4.942457012353454","5.1376023036732335","5.623785058171875","5.137601789453969","4.652860665792306","4.339072915721129","5.659179731597866","5.306621731659125","5.061264313762344","5.559460283843636","5.65378407916746","5.292339538523758","5.124843428438739","5.311050148401533","5.912021780351464","5.167781820377815","5.6788966622441395","5.871915657640061","3.4166227655033565","4.905879965419649","5.350063827709668","5.9099743680333665","4.884200410174065","4.992384522698719","5.661382758616326","5.696680971663688","4.90495082733026","4.082344694309061","6.528191066035074","5.131026132332178","4.8621469267896975","7.394585643414537","4.197048710395916","5.325653411191659","5.690467835473294","4.116528702604723","5.912995403297849","5.004822449309728","6.1289705986114935","4.54490845869807","4.752289668477176","5.228693863027239","6.325069447525279"
"[min]","-1.408409632130869","-2.0612960862794836","-1.0212039943336078","-0.6949701522230325","-1.2170630174269477","-0.962779694303925","-1.115261410122817","-1.487121313345529","-1.5725755803055468","-1.710492884336699","-1.2737874358004855","-1.593388538033292","-1.812055650652321","-0.6749392980343708","-1.194467802252222","-1.2046757277289166","-1.1483351005464222","-0.788717833407644","-1.441670125996009","-1.8571914514843895","-1.4655744778916222","-1.3419621639266621","-1.7192527193139169","-1.3217280717710889","-0.6394974547714778","-1.9039036018382756","-1.292081064918435","-1.4066765458751491","-1.2106558148947733","-1.4200862729924084","-1.2427740014591786","-0.9767961012595426","-0.9260827074975487","-1.0833190662653767","-1.5527272285158151","-1.8003998932333467","-0.9313457026651045","-1.1815806715650439","-1.1264103335626428","-1.3556435897856165","-1.3643374780565958","-0.9015406213775263","-1.4935252596292126","-1.13537372419349","-1.351534237007892","-0.9422882951324721","-0.9156429647762548","-1.552172810084935","-0.8516572072441226","-0.5870531024521034","-1.0523973706252667","-1.2724662867556193","-1.7227323444234437","-1.5065597646964761","-0.7803126151989649","-1.5190364627819546","-1.4717944978227029","-1.180134624637363","-1.60713045112788","-0.5822975199178432","-1.4602478993326242","-1.0977782005679926","-1.6655731929036057","-1.7632544553867435","-1.109936686886077","-1.1884853471247434","-1.1448383753078901","-1.011775180260688","-1.3720422058419104","-0.7247927550276998","-1.8264037368286128","-0.6232616053311777","-1.0373777893483642","-1.148216551146184","-0.7167767414014653","-1.9340714003745303","-1.2810119806748035","-1.2718538663992025","-1.3046267525126143","-0.8589191243063133","-1.7275912113446672","-1.6982612212634103","-1.273850631087357","-1.4615541598598616","-1.062178971713276","-1.3051536081390407","-1.729073988027406","-0.8494753511380251","-1.1413628284597268","-1.274950705965683","-1.373837244427861","-1.640246703461822","-1.6889639704550536","-0.9756321280510704","-0.8411088540458592","-1.30932186549256","-1.7899059204521632","-1.5012460478719711","-1.4883412288327127","-1.433057646580466","-1.1557289475385755","-0.7606785146455808","-1.0707843514014288","-0.8709746562337718","-1.3155237009546992","-1.6860135590004521","-1.6506971468494303","-1.608662417397711","-1.8724291637146064","-1.6245771361687051","-1.7046077770964714","-1.0975127542971015","-1.4610217779534265","-1.3004327147358599","-0.9795966850685566","-1.2428272480415166","-1.1594674098290538","-1.2842892835023298","-1.5860028553301855","-1.2237276588308934","-1.6065222695407806","-1.8087135469335998","-1.8986368935926599","-1.1166103839095998","-1.1437754109366378","-1.2836846064796277","-1.1880574959548487","-1.4618118962905382","-1.542476363130785","-2.019442029734967","-1.270019363548862","-1.3457762257506167","-1.4388343545431899","-1.3711681875738677","-1.5492806985156216","-1.9241922829164477","-0.973273276154755","-1.3069922157353329","-1.4347854704752194","-1.8800849915002602","-0.7621971990465156","-1.4313458104935606","-1.5337151068567145","-1.8205287316811039","-1.3151950769128091","-1.7799365796279272","-0.8826633916253704","-1.4151073882359986","-1.40469862454743","-1.1490956188190198","-1.6167369914030854","-1.095478692944678","-1.7906609341766666","-1.2554382735680543","-1.3049436809853505","-0.7251307096832518","-1.913902434922372","-1.4202692031889257","-1.2694260266739132","-1.1183865970314149"
"[max]","5.777029513699631","5.251450605647321","4.659202765888374","6.167441627895374","5.32082171236662","5.5590724209842035","4.970390750544863","4.33169408380762","5.692258460791789","5.529114019772926","5.957230140099486","5.012101208674128","5.909061730249194","6.477798597093834","6.780267381824506","5.83853952947262","5.346900022990285","6.523077460782935","5.032716626516192","5.533179836679202","4.230169305239962","5.974044828174234","5.4054462793328275","5.241422286217428","5.348752896573247","5.054127611031264","5.216241553029579","5.867816735827151","5.209437248054604","5.151064550250694","4.806754633324031","5.3731697253487685","5.422313706620341","5.625061369170837","5.075723147982762","4.951800057205487","4.927000249937493","5.334422476969975","6.291186357760707","5.910378263907288","5.0940241118784515","5.60620622233835","5.614859727122349","5.39354522780481","5.710803897621554","5.585174202925067","5.511647810428358","5.117098443676447","6.545622387369684","6.626856071329755","6.513062212957007","4.793338471413225","5.289306064243988","5.299487791600087","5.650268095750749","6.454834989217101","5.256302354872426","6.143362648999486","5.6172484050378815","6.65277034319366","6.470840674704981","6.091830220904658","4.4907273399473455","6.633844738671233","4.912323947502209","5.332660599302215","5.448722039860219","6.4158830777010785","6.126073295501293","5.678904204184751","6.214607314248939","6.152988268177119","5.333985168778613","5.743781416194719","5.061872068242844","4.582486226629046","4.75600581161444","4.752484598338824","5.562704355703678","6.15054523417653","6.128925273199851","5.304881688302789","6.0896493918050565","5.171602077036758","5.3197584149796535","5.442162828871778","5.2161067185111705","5.565841087067095","5.176348471552827","7.088412545227942","5.519751790421325","5.201967974056915","5.149917210905308","5.40940934221466","6.429794554209874","5.159027299755767","5.37488892584344","5.476058652971088","4.687795274996877","5.521084414394357","4.535140445553279","6.1206072831658425","4.973271483244824","5.86684944261947","6.069099272568036","4.549372912753089","5.192593550298926","6.299041480373849","5.471682490721066","5.377854362590092","5.717593027123505","5.6069611980576815","5.838476091037113","5.470416707854264","5.48512784266202","4.707116250454796","5.118362335786115","5.294084925052307","5.596671700190448","5.925535168786992","5.380986731390208","5.100731994927305","4.805364407834867","6.043565342877035","5.48891582551661","5.43362314354253","5.719331738447501","5.844283343873","5.537547374632763","5.263727398952629","5.773237998919835","6.391297875002245","5.533113500953364","6.187206657704675","6.165933476906061","3.7214837330598036","5.487880053168675","5.860800490062488","6.386001209071611","5.227723151900324","5.397222967231393","6.006161553875707","5.844166290172265","5.331337376902954","4.53628883179017","6.8479154612689666","5.6978108505360465","5.288110510621054","7.5881597687454185","4.635629866086075","5.499999021190907","6.094211543872114","4.477848368941987","6.309422999233734","5.630306551096499","6.409637493743205","4.790631506124875","5.063553699393441","5.484591673697328","6.731093935120211"
