"BehaviorSpace results (NetLogo 3D 6.0.4)"
"Projet_3D.nlogo3d"
"EtudeRho"
"12/02/2018 04:10:22:167 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"ro_consumer","800",,,,"800",,,,"800",,,,"800",,,,"800",,,,"800",,,,"800",,,,"800",,,,"800",,,,"800",,,,"800",,,,"800",,,,"800",,,,"800",,,,"800",,,,"800",,,,"800",,,,"800",,,,"800",,,,"800",,,
"range_max_consumer","600",,,,"600",,,,"600",,,,"600",,,,"600",,,,"600",,,,"600",,,,"600",,,,"600",,,,"600",,,,"600",,,,"600",,,,"600",,,,"600",,,,"600",,,,"600",,,,"600",,,,"600",,,,"600",,,,"600",,,
"good_ratio","10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,
"ro_provider","600",,,,"600",,,,"600",,,,"600",,,,"600",,,,"600",,,,"600",,,,"600",,,,"600",,,,"600",,,,"600",,,,"600",,,,"600",,,,"600",,,,"600",,,,"600",,,,"600",,,,"600",,,,"600",,,,"600",,,
"W_W","1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,
"linear_diffusion","0.5",,,,"0.5",,,,"0.5",,,,"0.5",,,,"0.5",,,,"0.5",,,,"0.5",,,,"0.5",,,,"0.5",,,,"0.5",,,,"0.5",,,,"0.5",,,,"0.5",,,,"0.5",,,,"0.5",,,,"0.5",,,,"0.5",,,,"0.5",,,,"0.5",,,,"0.5",,,
"W_I","2",,,,"2",,,,"2",,,,"2",,,,"2",,,,"2",,,,"2",,,,"2",,,,"2",,,,"2",,,,"2",,,,"2",,,,"2",,,,"2",,,,"2",,,,"2",,,,"2",,,,"2",,,,"2",,,,"2",,,
"[reporter]","m_PI","m_PW","m_PC","m_PT","m_PI","m_PW","m_PC","m_PT","m_PI","m_PW","m_PC","m_PT","m_PI","m_PW","m_PC","m_PT","m_PI","m_PW","m_PC","m_PT","m_PI","m_PW","m_PC","m_PT","m_PI","m_PW","m_PC","m_PT","m_PI","m_PW","m_PC","m_PT","m_PI","m_PW","m_PC","m_PT","m_PI","m_PW","m_PC","m_PT","m_PI","m_PW","m_PC","m_PT","m_PI","m_PW","m_PC","m_PT","m_PI","m_PW","m_PC","m_PT","m_PI","m_PW","m_PC","m_PT","m_PI","m_PW","m_PC","m_PT","m_PI","m_PW","m_PC","m_PT","m_PI","m_PW","m_PC","m_PT","m_PI","m_PW","m_PC","m_PT","m_PI","m_PW","m_PC","m_PT","m_PI","m_PW","m_PC","m_PT"
"[final]","0.09345243924584581","0","0.028107459458119082","0.044657468493500184","0.09102342987099085","0","0.04505106692337789","0.045460531823037935","0.08818297047553492","0","0.028730376866890964","0.04238469541878117","0.0910537218212062","0","0.054112706925040416","0.04648084380109613","0.0923947623100226","0","0.024832548571275332","0.04382351086792938","0.09168269016168076","0","0.04621536281054852","0.04588290260636335","0.0895299779171206","0","0.04279045684325688","0.04454559650130413","0.08666836040669885","0","0.0422151172394049","0.043209839874022125","0.08931409269591553","0","0.03823009064649734","0.0439429401589065","0.09311559441532337","0","0.02716196279882131","0.04440270449556821","0.09274483318050983","0","0.03041262816320889","0.044599106765027395","0.08724624806243275","0","0.02903732247201043","0.042002479413526736","0.08940280139858545","0","0.03650545398278485","0.0437907399530141","0.08645422161938167","0","0.04143072802019151","0.043027512721968454","0.0890915172019894","0","0.06162420298335505","0.04644336353236803","0.09254411801624143","0","0.03984153529900445","0.04555755637377441","0.09212430712562217","0","0.05413168223495811","0.046958767859716435","0.09764598166592726","0","0.020549627064467137","0.045681505969797254","0.08533404600599603","0","0.04461437340759116","0.04288339527017509","0.09353973431378948","0","0.03675652851741066","0.045657273974729864"
"[min]","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"[max]","0.09523805033977298","0","0.47520556139431547","0.0871793029353594","0.09437960487735399","0","0.4816279395793453","0.08869264462494003","0.09194617808731569","0","0.4673644377946103","0.08568986345354677","0.0937679067262272","0","0.4867975579089579","0.09019046579959658","0.09625960815498853","0","0.48419593284472606","0.09040671881454529","0.0937226315607848","0","0.45858221758464096","0.08267086450281708","0.09041096328570788","0","0.4764147471574741","0.08957735979522521","0.09285523537647865","0","0.4815270033021116","0.09019633532051254","0.091011083500726","0","0.4729187392275558","0.08780739121840346","0.09819913469208821","0","0.48811266702542805","0.0896217548629989","0.09640812839564106","0","0.48256204521659624","0.08798195955428117","0.09020411339001723","0","0.45719435740354336","0.08222776744463635","0.09353631301988644","0","0.47151985962933135","0.08668189332540345","0.09066017137058273","0","0.4666991471182903","0.08467353378477752","0.0912162814144728","0","0.472837298115281","0.08665529797677295","0.09262096382954117","0","0.46517956801895366","0.08448194939763964","0.09750218974172006","0","0.4760284480763479","0.0900628900558299","0.0990693376394955","0","0.46319940027619827","0.08556508050362537","0.0883052235924211","0","0.4776569754959266","0.0840457283140265","0.09659627036121572","0","0.48537630724871605","0.09131663745686444"
"[mean]","0.08959819072880931","0","0.10390846078941554","0.051366802633850184","0.08812287065440987","0","0.10333203780339068","0.050647057824558805","0.08725256966672353","0","0.10119956689722959","0.05002331617379144","0.08656840674864098","0","0.11738320362562683","0.05151742562446551","0.08892689429273136","0","0.10722346147768644","0.05143678207206778","0.08796158040979071","0","0.09508178618394755","0.04965867864701214","0.08588811772254333","0","0.11835963065909683","0.051323566838807615","0.08659021881616391","0","0.11377255854013282","0.05112593708942074","0.08598556877092534","0","0.10357090803074799","0.04972368701271646","0.08973629717919632","0","0.11871041782496325","0.05307284517130522","0.08794700567951709","0","0.10578292424282836","0.05084121632898836","0.08508217745898612","0","0.08184534625996366","0.046908228455100766","0.0879163908265265","0","0.0995097635703365","0.050130591875160134","0.08592469444020051","0","0.09740865696306689","0.04901193719154084","0.08517489409616909","0","0.10240386526397918","0.049233715738739324","0.08640360838899902","0","0.0948556555319321","0.04894112100976964","0.08904476558074313","0","0.10698368334319992","0.051462527296241234","0.0932786813049951","0","0.09309658566198979","0.05180125676466317","0.08331830867265061","0","0.09734124147569659","0.047846052907366446","0.09122540822112211","0","0.11327409946458218","0.05313063692767427"
"[steps]","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250"

"[all run data]","m_PI","m_PW","m_PC","m_PT","m_PI","m_PW","m_PC","m_PT","m_PI","m_PW","m_PC","m_PT","m_PI","m_PW","m_PC","m_PT","m_PI","m_PW","m_PC","m_PT","m_PI","m_PW","m_PC","m_PT","m_PI","m_PW","m_PC","m_PT","m_PI","m_PW","m_PC","m_PT","m_PI","m_PW","m_PC","m_PT","m_PI","m_PW","m_PC","m_PT","m_PI","m_PW","m_PC","m_PT","m_PI","m_PW","m_PC","m_PT","m_PI","m_PW","m_PC","m_PT","m_PI","m_PW","m_PC","m_PT","m_PI","m_PW","m_PC","m_PT","m_PI","m_PW","m_PC","m_PT","m_PI","m_PW","m_PC","m_PT","m_PI","m_PW","m_PC","m_PT","m_PI","m_PW","m_PC","m_PT","m_PI","m_PW","m_PC","m_PT"
,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
